Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
68643,Indian Subcontinent,Indian,Asian,52.5251,1360.7282,16.5553,126.8130,Indian Subcontinent
68644,Indian Subcontinent,Indian,Asian,48.1622,351.8237,15.6096,15.8447,Indian Subcontinent
68645,Indian Subcontinent,Indian,Asian,120.2980,1260.5818,24.0076,86.2722,Indian Subcontinent
68646,Indian Subcontinent,Indian,Asian,1.0758,28.6850,0.4592,2.7385,Indian Subcontinent
68647,Indian Subcontinent,Indian,Asian,56.2800,477.4188,11.8857,27.8777,Indian Subcontinent
68648,Indian Subcontinent,Indian,Asian,32.3581,614.0845,106.3217,4.6755,Indian Subcontinent
68649,Indian Subcontinent,Indian,Asian,32.1138,209.6948,10.0655,7.4569,Indian Subcontinent
68650,Indian Subcontinent,Indian,Asian,6.0807,22.8755,0.1613,0.0957,Indian Subcontinent
68651,Indian Subcontinent,Indian,Asian,22.7683,153.7764,5.6347,5.7931,Indian Subcontinent
68652,Indian Subcontinent,Indian,Asian,22.6517,471.6265,4.9971,43.0468,Indian Subcontinent
68653,Indian Subcontinent,Indian,Asian,27.8872,111.6790,0.0538,0.0335,Indian Subcontinent
68654,Indian Subcontinent,Indian,Asian,65.4942,856.3053,67.7885,42.9609,Indian Subcontinent
68655,Indian Subcontinent,Indian,Asian,66.9873,583.4920,17.1011,29.7622,Indian Subcontinent
68656,Indian Subcontinent,Indian,Asian,19.1530,77.4200,1.9735,0.3064,Indian Subcontinent
68657,Indian Subcontinent,Indian,Asian,51.3900,200.2500,2.4525,0.7425,Indian Subcontinent
68658,Indian Subcontinent,Indian,Asian,19.2848,306.3070,3.6022,25.0232,Indian Subcontinent
68659,Indian Subcontinent,Indian,Asian,10.1223,259.2400,3.2374,24.9974,Indian Subcontinent
